ID;Label
D2-101;Human
D2-102;OpenAI
D2-103;Human
D2-104;Anthropic
D2-105;OpenAI
D2-106;Human
D2-107;OpenAI
D2-108;Anthropic
D2-109;Anthropic
D2-110;Anthropic
D2-111;Human
D2-112;Anthropic
D2-113;Human
D2-114;Anthropic
D2-115;OpenAI
D2-116;OpenAI
D2-117;OpenAI
D2-118;Human
D2-119;Meta
D2-120;OpenAI
D2-121;Human
D2-122;OpenAI
D2-123;OpenAI
D2-124;Anthropic
D2-125;OpenAI
D2-126;Anthropic
D2-127;Human
D2-128;Human
D2-129;Human
D2-130;Anthropic
D2-131;OpenAI
D2-132;OpenAI
D2-133;Anthropic
D2-134;Anthropic
D2-135;OpenAI
D2-136;OpenAI
D2-137;OpenAI
D2-138;OpenAI
D2-139;OpenAI
D2-140;OpenAI
D2-141;OpenAI
D2-142;Meta
D2-143;OpenAI
D2-144;OpenAI
D2-145;OpenAI
D2-146;Anthropic
D2-147;Human
D2-148;Anthropic
D2-149;Human
D2-150;OpenAI
D3-1;Human
D3-2;Human
D3-3;Anthropic
D3-4;OpenAI
D3-5;Anthropic
D3-6;Human
D3-7;Human
D3-8;Human
D3-9;Anthropic
D3-10;OpenAI
D3-11;OpenAI
D3-12;Anthropic
D3-13;OpenAI
D3-14;OpenAI
D3-15;Anthropic
D3-16;Human
D3-17;OpenAI
D3-18;Human
D3-19;Human
D3-20;Anthropic
D3-21;Human
D3-22;Human
D3-23;Human
D3-24;Anthropic
D3-25;Human
D3-26;OpenAI
D3-27;OpenAI
D3-28;Human
D3-29;Anthropic
D3-30;Anthropic
D3-31;Human
D3-32;Anthropic
D3-33;OpenAI
D3-34;OpenAI
D3-35;Human
D3-36;Anthropic
D3-37;Human
D3-38;Anthropic
D3-39;OpenAI
D3-40;Anthropic
D3-41;Anthropic
D3-42;Human
D3-43;Anthropic
D3-44;Human
D3-45;Anthropic
D3-46;Anthropic
D3-47;Anthropic
D3-48;Anthropic
D3-49;OpenAI
D3-50;Anthropic
D3-51;Human
D3-52;OpenAI
D3-53;OpenAI
D3-54;Google
D3-55;OpenAI
D3-56;OpenAI
D3-57;OpenAI
D3-58;OpenAI
D3-59;OpenAI
D3-60;Anthropic
D3-61;Human
D3-62;Anthropic
D3-63;Human
D3-64;Human
D3-65;OpenAI
D3-66;OpenAI
D3-67;Human
D3-68;Human
D3-69;Human
D3-70;OpenAI
D3-71;OpenAI
D3-72;OpenAI
D3-73;OpenAI
D3-74;Human
D3-75;OpenAI
D3-76;Human
D3-77;Human
D3-78;OpenAI
D3-79;OpenAI
D3-80;OpenAI
D3-81;Human
D3-82;OpenAI
D3-83;OpenAI
D3-84;Human
D3-85;Human
D3-86;Human
D3-87;OpenAI
D3-88;OpenAI
D3-89;Human
D3-90;OpenAI
D3-91;Anthropic
D3-92;OpenAI
D3-93;Human
D3-94;OpenAI
D3-95;Human
D3-96;OpenAI
D3-97;OpenAI
D3-98;OpenAI
D3-99;Anthropic
D3-100;Human
